Drug,geneName,log2FoldChange,padj no NA,pvalue
Enzalutamide,CORT,-0.207382439,1,0.711906759
Enzalutamide,DFFA,-0.075152481,1,0.450124331
Enzalutamide,PEX14,-0.025472266,1,0.935881996
Enzalutamide,CASZ1,0.244992087,1,0.01345959
Enzalutamide,AL139423.1,-0.323353344,1,0.475085746
Enzalutamide,C1orf127,0.643986624,1,0.343226638
Enzalutamide,CFL1P6,0.007140103,1,0.996825445
Enzalutamide,TARDBP,0.025099271,1,0.912247386
Enzalutamide,MASP2,0.823946431,1,0.149637712
Enzalutamide,AL109811.3,0.837947758,1,0.257350658
Enzalutamide,SRM,-0.051649852,1,0.91689489
Enzalutamide,EXOSC10,-0.022948701,1,0.774912638
Enzalutamide,AL109811.1,0.00443548,1,0.996700944
Enzalutamide,AL109811.2,0.0162867,1,0.963650856
Enzalutamide,MTOR,-0.262135779,1,0.025825451
Enzalutamide,UBIAD1,-0.114750295,1,0.670290975
Enzalutamide,UBE2V2P3,0.611330518,1,0.789732442
Enzalutamide,DISP3,-0.713179099,1,0.331728675
Enzalutamide,LINC01647,-0.564381599,1,0.72232235
Enzalutamide,AL031731.1,-1.84942554,1,0.601011043
Enzalutamide,FBXO2,-0.134561867,1,0.686589565
Enzalutamide,FBXO44,0.027342618,1,0.9364037
Enzalutamide,FBXO6,-0.17319803,1,0.533903552
Enzalutamide,MAD2L2,-0.014524041,1,0.963457989
Enzalutamide,DRAXIN,0.149163535,1,0.842716034
Enzalutamide,AGTRAP,-0.062040164,1,0.879205991
Enzalutamide,MTHFR,0.223205672,1,0.221000983
Enzalutamide,CLCN6,0.091143611,1,0.452079638
Enzalutamide,NPPA,1.458371706,1,0.489647415
Enzalutamide,AL021155.2,-0.175364682,1,0.609375836
Enzalutamide,RNU5E-4P,-1.005356709,1,0.3772199
Enzalutamide,KIAA2013,-0.096735627,1,0.74423741
Enzalutamide,PLOD1,-0.06267714,1,0.87101288
Enzalutamide,MFN2,-0.081201031,1,0.71161911
Enzalutamide,MIIP,-0.107232999,1,0.710148057
Enzalutamide,RF00019.1,0.896081533,1,0.793149362
Enzalutamide,TNFRSF8,-0.053928821,1,0.897397488
Enzalutamide,TNFRSF1B,-0.239020479,1,0.741469679
